name,HX_1,HX_2,HX_3,HX_4,HX_5,HX_6
kind,single_tube,reversal_chamber,tube_bank,reversal_chamber,tube_bank,economiser
gas in pressure[kpa],101.325,101.322491292246,101.32208767717577,101.27493327468615,101.27472215860398,101.23098309181428
gas in temp[°C],1981.2459839107391,864.0131983434318,806.9802958455647,310.84262171359376,306.4246788042144,189.55456444242492
gas in enthalpy[kJ/kg],2612.28925950519,1018.204732634908,942.6510200672205,323.6342418097872,318.46453320537137,183.75464905499481
gas out pressure[kpa],101.322491292246,101.32208767717577,101.27493327468615,101.27472215860398,101.23098309181428,89.51790610593294
gas out temp[°C],864.0131983434318,806.9802958455647,310.84262171359376,306.4246788042144,189.55456444242492,138.49186103999472
gas out enthalpy[kJ/kg],1018.204732634908,942.6510200672205,323.6342418097872,318.46453320537137,183.75464905499481,126.05440058064322
water in temp[°C],143.6125329983829,143.6125329983829,143.6125329983829,143.6125329983829,143.6125329983829,104.90064008896991
water in enthalpy[kJ/kg],604.7234741531466,604.7234741531466,604.7234741531466,604.7234741531466,604.7234741531466,440.0
water in pressure[kpa],400.0,400.0,400.0,400.0,400.0,400.0594078065516
water out temp[°C],143.6125329983829,143.6125329983829,143.6125329983829,143.6125329983829,143.6125329983829,117.50713583597695
water out enthalpy[kJ/kg],604.7234741531466,604.7234741531466,604.7234741531466,604.7234741531466,604.7234741531466,493.3470296652571
water out pressure[kpa],400.0,400.0,400.0,400.0,400.0,399.99999523646943
gas avg velocity[m/s],5.049751083329571,2.9060105777478022,7.549903164917322,1.5272351443815968,5.920216541320186,44.677039742139314
water avg velocity[m/s],,,,,,0.03464231526318581
pressure drop fric[kpa],-0.0002623662906336657,-1.5001882282424503e-05,-0.028556618912583275,-7.0965346520289944e-06,-0.026436350006828094,-7.852152651053003
pressure drop minor[kpa],-0.0022463414634468198,-0.0003886131879480761,-0.01859778357710224,-0.00020401954750114403,-0.017302716782843952,-3.8609243348283186
pressure drop total[kpa],-0.0025087077540804853,-0.00040361507023050063,-0.04715440248968551,-0.00021111608215317303,-0.04373906678967205,-11.713076985881322
water pressure drop fric[kpa],,,,,,-0.05838736058687947
water pressure drop minor[kpa],,,,,,-0.001025209495144157
water pressure drop total[kpa],,,,,,-0.05941257008202363
Q conv[MW],0.11350573863048698,0.010080404847267289,0.9038186943019606,0.00199307625955295,0.2254183597968493,0.10322700204841931
Q rad[MW],2.7403641246644326,0.12518248653924507,0.20439943692949836,0.007262212836820424,0.015751131460469116,7.305911071734808e-05
Q total[MW],2.85386986329492,0.13526289138651235,1.1082181312314596,0.009255289096373374,0.24116949125731846,0.10330006115913663
UA[MW/K],0.0023241684447379636,0.00019377977937455327,0.0029877820055053267,5.5918199811465465e-05,0.002573110620614077,0.0021834981526306593
steam capacity[t/h],4.577017696780869,0.21693373463043486,1.77735294232498,0.014843571715640734,0.38678604221075336,
