name,HX_1,HX_2,HX_3,HX_4,HX_5,HX_6
kind,single_tube,reversal_chamber,tube_bank,reversal_chamber,tube_bank,economiser
gas in pressure[kpa],101.325,101.32218747312703,101.32170146764858,101.26420893160338,101.26394459026973,101.20882809217693
gas in temp[°C],1853.7967104799327,882.6615268457136,827.0105521869533,344.47697127363074,339.7951185811586,225.00550707852818
gas in enthalpy[kJ/kg],2396.931843098109,1033.5574849895963,960.3518814509079,360.23932878603785,354.7618479330014,222.46499535433622
gas out pressure[kpa],101.32218747312703,101.32170146764858,101.26420893160338,101.26394459026973,101.20882809217693,86.31825558686414
gas out temp[°C],882.6615268457136,827.0105521869533,344.47697127363074,339.7951185811586,225.00550707852818,156.7921234698328
gas out enthalpy[kJ/kg],1033.5574849895963,960.3518814509079,360.23932878603785,354.7618479330014,222.46499535433622,145.5466907454366
water in temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,104.79547308537627
water in enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,440.0
water in pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,1000.0563771143388
water out temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,123.6432006390637
water out enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,519.8224111463022
water out pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,999.99999537092
gas avg velocity[m/s],5.462653306241025,3.2126067743117024,8.520060703820159,1.754999593368068,6.871418825385601,52.236556649973295
water avg velocity[m/s],,,,,,0.033728138234062434
pressure drop fric[kpa],-0.0003029257301669833,-1.7785044511854543e-05,-0.03461841568183713,-8.81451558228369e-06,-0.03320696834244419,-9.977273679712194
pressure drop minor[kpa],-0.0025096011428415283,-0.000468220433928808,-0.022874120363310706,-0.0002555268180650699,-0.021909529750339257,-4.913298825600597
pressure drop total[kpa],-0.0028125268730085115,-0.0004860054784406626,-0.057492536045147834,-0.0002643413336473536,-0.05511649809278344,-14.890572505312791
water pressure drop fric[kpa],,,,,,-0.05541218134684941
water pressure drop minor[kpa],,,,,,-0.0009695620717860844
water pressure drop total[kpa],,,,,,-0.056381743418635485
Q conv[MW],0.115491661193465,0.010403645775904575,0.9526592281568862,0.002109799745191339,0.2396596603106901,0.1499770046009472
Q rad[MW],2.5448129002216398,0.13243989260435612,0.21831937490669032,0.008578243678923621,0.01848659913486591,0.00011100075139112384
Q total[MW],2.6603045614151024,0.14284353838026068,1.1709786030635765,0.01068804342411496,0.25814625944555597,0.1500880053523383
UA[MW/K],0.002318822640504172,0.00020994296810841938,0.0032287243894839413,6.570944207151406e-05,0.0028043903591026204,0.002153618246282975
steam capacity[t/h],4.242561527176458,0.22780192506059715,1.8674360983171603,0.017044921280675158,0.4116827090375153,
