stage_name,i,x[m],dx[m],qprime[MW/m],UA_prime[MW/K/m],gas_P[kPa],gas_T[°C],gas_h[kJ/kg],water_P[kPa],water_T[°C],water_h[kJ/kg],gas_eps[-],water_x[-],boiling,gas_V[m/s],Re_gas[-],h_gas[W/m^2/K],water_V[m/s],Re_water[-],h_water[W/m^2/K],dP_fric[kPa],dP_minor[kPa],dP_total[kPa],water_dP_fric[kPa],water_dP_minor[kPa],water_dP_total[kPa],water_cp[kJ/kg/K],water_mu[Pa*s],water_k[W/m/K],water_rho[kg/m^3]
HX_1,0,0.0,0.09954716981132075,1.4947662955569916,0.000931630834712259,101.325,1691.8298080846498,2133.184124029639,1000.0,179.88563239146663,762.6828443354104,0.4498959947626878,0.0,true,8.18961688819903,30489.44766000845,289.60322194743856,,,84926.68788155017,-9.743001921698252e-06,-0.0029163722114909536,-0.0029261152134126517,,,,,,,
HX_1,1,0.09954716981132075,0.09954716981132075,1.180233672638897,0.0007784868206296991,101.32207388478659,1644.197190011248,2065.323647886781,1000.0,179.88563239146663,762.6828443354104,0.44796003618049185,0.0,true,7.99132506936024,30992.3491714836,233.84444890944854,,,72119.20378448954,-9.471224491543081e-06,-0.0,-9.471224491543081e-06,,,,,,,
HX_1,2,0.1990943396226415,0.09954716981132075,1.0533998351502216,0.0007301757686995168,101.3220644135621,1606.4683533314205,2011.7425501435725,1000.0,179.88563239146663,762.6828443354104,0.44639067093888407,0.0,true,7.834075513363203,31406.17747415574,215.84361119040426,,,66490.11260323487,-9.256486466219552e-06,-0.0,-9.256486466219552e-06,,,,,,,
HX_1,3,0.2986415094339623,0.09954716981132075,0.9768872468311034,0.0006966108951873586,101.32205515707564,1572.7008717083286,1963.9195470308896,1000.0,179.88563239146663,762.6828443354104,0.4449558643857614,0.0,true,7.693336474828931,31788.854692025096,203.2361220142727,,,63153.04364665477,-9.064869181657155e-06,-0.0,-9.064869181657155e-06,,,,,,,
HX_1,4,0.398188679245283,0.09954716981132075,0.913724376956215,0.0006672015243379417,101.32204609220645,1541.3041948054292,1919.5701174152373,1000.0,179.88563239146663,762.6828443354104,0.44359524195675437,0.0,true,7.562478692960125,32155.62941819481,192.39546923308177,,,60375.03817045539,-8.887199042127742e-06,-0.0,-8.887199042127742e-06,,,,,,,
HX_1,5,0.49773584905660373,0.09954716981132075,0.8577970364346473,0.0006404679405527321,101.3220372050074,1511.8634652713267,1878.0882011802667,1000.0,179.88563239146663,762.6828443354104,0.44229533325360293,0.0,true,7.439773084627058,32509.62156039674,182.75048696437545,,,57868.174115254515,-8.72103556853175e-06,-0.0,-8.72103556853175e-06,,,,,,,
HX_1,6,0.5972830188679246,0.09954716981132075,0.8075816650660697,0.0006159784969304424,101.32202848397183,1484.157205955064,1839.1453145620599,1000.0,179.88563239146663,762.6828443354104,0.44105004594203834,0.0,true,7.324296556836779,32852.06982862543,174.09005396107395,,,55572.07549242919,-8.56505386551902e-06,-0.0,-8.56505386551902e-06,,,,,,,
HX_1,7,0.6968301886792453,0.09954716981132075,0.7622411431286664,0.0005934546335593492,101.32201991891797,1458.0110338663872,1802.4821414781122,1000.0,179.88563239146663,762.6828443354104,0.43985473223533067,0.0,true,7.215322300249551,33183.882390669314,166.26876256281162,,,53458.48502640813,-8.418208532538493e-06,-0.0,-8.418208532538493e-06,,,,,,,
HX_1,8,0.796377358490566,0.09954716981132075,0.7211262209789986,0.0005726685014175755,101.32201150070945,1433.2759963440085,1767.877370008936,1000.0,179.88563239146663,762.6828443354104,0.4387053785921755,0.0,true,7.112229496414229,33505.84335091295,159.17024766395897,,,51506.01545531203,-8.279608187249113e-06,-0.0,-8.279608187249113e-06,,,,,,,
HX_1,9,0.8959245283018867,0.09954716981132075,0.6836985583642172,0.000553426336135949,101.32200322110126,1409.8228072394345,1735.1391633371663,1000.0,179.88563239146663,762.6828443354104,0.43759844405053094,0.0,true,7.01447929477686,33818.648531075036,152.6987231798236,,,49696.70311200639,-8.148480848118107e-06,-0.0,-8.148480848118107e-06,,,,,,,
HX_1,10,0.9954716981132075,0.09954716981132075,0.6495053326753585,0.0005355618479845845,101.32199507262041,1387.538497930097,1704.1001246033009,1000.0,179.88563239146663,762.6828443354104,0.4365307840756766,0.0,true,6.921600854462467,34122.919737806515,146.77450758467168,,,48015.17137872857,-8.024153432781957e-06,-0.0,-8.024153432781957e-06,,,,,,,
HX_1,11,1.0950188679245283,0.09954716981132075,0.6181629674446412,0.0005189315599155367,101.32198704846698,1366.32384048318,1674.613414514219,1000.0,179.88563239146663,762.6828443354104,0.4354995936105417,0.0,true,6.833180604300173,34419.21501263549,141.33079279540834,,,46448.16704210428,-7.90603595967215e-06,-0.0,-7.90603595967215e-06,,,,,,,
HX_1,12,1.1945660377358491,0.09954716981132075,0.5893446403516426,0.0005034110891705234,101.32197914243103,1346.0912596836283,1646.5496076570755,1000.0,179.88563239146663,762.6828443354104,0.4345023602952095,0.0,true,6.748853540381701,34708.0370651324,136.31116626359574,,,44984.20771151277,-7.79360877092685e-06,-0.0,-7.79360877092685e-06,,,,,,,
HX_1,13,1.2941132075471697,0.09954716981132075,0.5627703743078201,0.0004888921205557172,101.32197134882225,1326.7631199806465,1619.7941159337113,1000.0,179.88563239146663,762.6828443354104,0.4335368253855114,0.0,true,6.668296086239642,34989.84036785666,131.6676799296303,,,43613.29781046222,-7.686412072663251e-06,-0.0,-7.686412072663251e-06,,,,,,,
HX_1,14,1.3936603773584906,0.09954716981132075,0.5381990981292196,0.0004752799262268534,101.32196366241017,1308.270310068418,1594.2450618471373,1000.0,179.88563239146663,762.6828443354104,0.4326009508926163,0.0,true,6.591220193533027,35265.037164429494,127.3593305676766,,,42326.696956076616,-7.584037310967697e-06,-0.0,-7.584037310967697e-06,,,,,,,
HX_1,15,1.4932075471698112,0.09954716981132075,0.5154222409689903,0.0004624913229447315,101.32195607837285,1290.5510661794233,1569.8115122233005,1000.0,179.88563239146663,762.6828443354104,0.4316928918128269,0.0,true,6.517368437661223,35534.00258059953,123.35085362350564,,,41116.72985437761,-7.4861200168199575e-06,-0.0,-7.4861200168199575e-06,,,,,,,
HX_1,16,1.592754716981132,0.09954716981132075,0.4942585313274814,0.00045045298140610195,101.32194859225284,1273.5499881634664,1546.4120027374202,1000.0,179.88563239146663,762.6828443354104,0.4308109725464724,0.0,true,6.446509916887839,35797.07899101415,119.61175822851544,,,39976.62940523418,-7.392333834752847e-06,-0.0,-7.392333834752847e-06,,,,,,,
HX_1,17,1.6923018867924529,0.09954716981132075,0.47454974854209236,0.0004391000202481929,101.32194119991901,1257.2172122458346,1523.9732985585872,1000.0,179.88563239146663,762.6828443354104,0.4299536667814474,0.0,true,6.378436804486348,36054.57976577203,116.11554937141264,,,38900.40653006982,-7.302385511572591e-06,-0.0,-7.302385511572591e-06,,,,,,,
