parameter,value
fuel mass flow[kg/s],0.1
air flow[kg/s],1.6902611307035815
excess air ratio[-],1.05
feedwater flow[kg/s],1.8815836525567569
steam capacity[t/h],6.775594029614455
eta direct[-],0.9405133307652406
eta indirect[-],0.9405133307652406
Stack loss fraction[-],0.05948666923475944
Q_flue_out[MW],0.2782042416076667
UA[MW/K],0.009401555491371918
Q_in total[MW],4.67674934882899
Q_useful[MW],4.398545107221323
Q_balance_error[MW],-0.00012060931125112972
pressure drop fric total[kPa],-8.77455943733571
pressure drop minor total[kPa],-4.285693464570656
pressure drop total[kPa],-13.060252901906367
water pressure drop fric total[kPa],-0.0573099291321628
water pressure drop minor total[kPa],-0.0009732496537385997
water pressure drop total[kPa],-0.05828317878590141
LHV[kJ/kg],46730.96939782223
P-LHV[MW],4.673096939782224
Tad[°C],1981.4958544144984
stack temperature[°C],164.53140668953125
feedwater pressure[kPa],1000.058275518107
drum pressure[kPa],1000.0
