name,HX_1,HX_2,HX_3,HX_4,HX_5,HX_6
kind,single_tube,reversal_chamber,tube_bank,reversal_chamber,tube_bank,economiser
gas in pressure[kpa],101.325,101.32243106935022,101.32193264386723,101.26381062330286,101.26356085080873,101.21204684318843
gas in temp[°C],1981.2459839107391,1133.967303542664,1053.1586653235631,418.23784322596566,410.5704911060071,254.0839378780846
gas in enthalpy[kJ/kg],2612.28925950519,1385.457393007567,1273.969598676472,451.1567593415971,441.9319698198587,257.6561781419772
gas out pressure[kpa],101.32243106935022,101.32193264386723,101.26381062330286,101.26356085080873,101.21204684318843,88.26474709809362
gas out temp[°C],1133.967303542664,1053.1586653235631,418.23784322596566,410.5704911060071,254.0839378780846,164.53140668953125
gas out enthalpy[kJ/kg],1385.457393007567,1273.969598676472,451.1567593415971,441.9319698198587,257.6561781419772,155.39639323596285
water in temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,104.7954727524571
water in enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,440.0
water in pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,1000.058275518107
water out temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,127.75069641949244
water out enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,537.2980644252539
water out pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,999.9999923393212
gas avg velocity[m/s],6.0471272972110235,3.5833414452214214,9.109515163426547,1.8050518563344768,6.871372101171151,49.207169554866816
water avg velocity[m/s],,,,,,0.03383398716044984
pressure drop fric[kpa],-0.00032258918628676604,-1.9136909198640025e-05,-0.03570264843322575,-8.618920108774295e-06,-0.03152059662737503,-8.706985847259515
pressure drop minor[kpa],-0.0022463414634468198,-0.0004792885738054248,-0.02241937213119851,-0.00024115357399157676,-0.01999341099289966,-4.240313897835314
pressure drop total[kpa],-0.0025689306497335856,-0.0004984254830040648,-0.05812202056442427,-0.00024977249410035107,-0.05151400762027469,-12.94729974509483
water pressure drop fric[kpa],,,,,,-0.0573099291321628
water pressure drop minor[kpa],,,,,,-0.0009732496537385997
water pressure drop total[kpa],,,,,,-0.05828317878590141
Q conv[MW],0.04565733308985809,0.006744859205098315,1.0360808882332353,0.002505495095232073,0.29762010656621996,0.1829006527883558
Q rad[MW],2.1507246349945546,0.19285038109698413,0.4369908120893732,0.014009539994693218,0.03228660940810319,0.00017379465961598432
Q total[MW],2.1963819680844128,0.1995952403020824,1.4730717003226084,0.016515035089925294,0.3299067159743229,0.18307444744797172
UA[MW/K],0.0016303105044221935,0.0002180537658346556,0.0029248065659286506,7.027669521569473e-05,0.00235782465772643,0.0022002833022442938
steam capacity[t/h],3.5302801871489535,0.3208126512266992,2.3676919194680184,0.026544882454522266,0.5302643893162615,
