stage_name,i,x[m],dx[m],qprime[MW/m],UA_prime[MW/K/m],gas_P[kPa],gas_T[°C],gas_h[kJ/kg],water_P[kPa],water_T[°C],water_h[kJ/kg],gas_eps[-],water_x[-],boiling,gas_V[m/s],Re_gas[-],h_gas[W/m^2/K],water_V[m/s],Re_water[-],h_water[W/m^2/K],dP_fric[kPa],dP_minor[kPa],dP_total[kPa],water_dP_fric[kPa],water_dP_minor[kPa],water_dP_total[kPa],water_cp[kJ/kg/K],water_mu[Pa*s],water_k[W/m/K],water_rho[kg/m^3]
HX_1,0,0.0,0.09954716981132075,0.6397358419611058,0.0003718421214755377,101.325,1981.2459839107391,2612.28925950519,1000.0,179.88563239146663,762.6828443354104,0.4831288761266683,0.0,true,7.726074738189995,22804.301944378087,632.7763288635683,,,46985.43027773999,-8.035223661328765e-06,-0.0022463414634468198,-0.0022543766871081484,,,,,,,
HX_1,1,0.09954716981132075,0.09954716981132075,0.6515042469262438,0.00036640080939683874,101.3227456233129,1957.4255586084132,2576.717382741496,1000.0,179.88563239146663,762.6828443354104,0.48235531385094166,0.0,true,7.644609481291769,22966.10558008525,577.731985841186,,,48072.469655940695,-7.93706798507829e-06,-0.0,-7.93706798507829e-06,,,,,,,
HX_1,2,0.1990943396226415,0.09954716981132075,0.6394895657609583,0.00036420423694378585,101.3227376862449,1933.1344728413846,2540.4911354960973,1000.0,179.88563239146663,762.6828443354104,0.4815582564270744,0.0,true,7.561359872174295,23134.199289277312,555.2932320096123,,,47488.95319615553,-7.83696628910133e-06,-0.0,-7.83696628910133e-06,,,,,,,
HX_1,3,0.2986415094339623,0.09954716981132075,0.627363612189705,0.00036224798075716006,101.3227298492786,1909.2585713826015,2504.932952676269,1000.0,179.88563239146663,762.6828443354104,0.48076404017106555,0.0,true,7.479533158958782,23302.555853610254,536.0090602587695,,,46883.24015323502,-7.738749327408492e-06,-0.0,-7.738749327408492e-06,,,,,,,
HX_1,4,0.398188679245283,0.09954716981132075,0.6154889839811942,0.0003602785190629834,101.32272211052928,1885.8029416578506,2470.049021473741,1000.0,179.88563239146663,762.6828443354104,0.47997317604229517,0.0,true,7.399146777941751,23471.06853827142,517.6653533527084,,,46286.79315835995,-7.642430447172718e-06,-0.0,-7.642430447172718e-06,,,,,,,
HX_1,5,0.49773584905660373,0.09954716981132075,0.603805608108584,0.0003582756297594167,101.32271446809884,1862.759149224486,2435.825367191075,1000.0,179.88563239146663,762.6828443354104,0.4791857256573513,0.0,true,7.320171823365524,23639.724607134685,500.06387169484054,,,45696.3573295494,-7.547967499550873e-06,-0.0,-7.547967499550873e-06,,,,,,,
HX_1,6,0.5972830188679246,0.09954716981132075,0.5923026700585973,0.0003562382512179267,101.32270692013134,1840.1210001999061,2402.2513554318884,1000.0,179.88563239146663,762.6828443354104,0.47840181980303154,0.0,true,7.242587068277767,23808.495869408333,483.1620973096348,,,45111.35804739893,-7.455327770143975e-06,-0.0,-7.455327770143975e-06,,,,,,,
HX_1,7,0.6968301886792453,0.09954716981132075,0.5809781016926938,0.0003541669616865419,101.32269946480358,1817.8827049293209,2369.316953130076,1000.0,179.88563239146663,762.6828443354104,0.4776215984888069,0.0,true,7.166372671070685,23977.351296671768,466.9306741782175,,,44531.7549795509,-7.364480402521434e-06,-0.0,-7.364480402521434e-06,,,,,,,
HX_1,8,0.796377358490566,0.09954716981132075,0.5698308411566656,0.000352062541082168,101.32269210032317,1796.038550449276,2337.012242216329,1000.0,179.88563239146663,762.6828443354104,0.47684519996210406,0.0,true,7.091509052951425,24146.259360109772,451.3423331044535,,,43957.57138657996,-7.275395048152301e-06,-0.0,-7.275395048152301e-06,,,,,,,
HX_1,9,0.8959245283018867,0.09954716981132075,0.5588599472818955,0.00034992585159199165,101.32268482492812,1774.582861801407,2305.3273636646845,1000.0,179.88563239146663,762.6828443354104,0.476072759294774,0.0,true,7.0179767653574885,24315.188343965547,436.37098367952075,,,43388.83863093192,-7.188041705171632e-06,-0.0,-7.188041705171632e-06,,,,,,,
