name,HX_1,HX_2,HX_3,HX_4,HX_5,HX_6
kind,single_tube,reversal_chamber,tube_bank,reversal_chamber,tube_bank,economiser
gas in pressure[kpa],101.325,101.3248447003047,101.3248284716823,101.3228465281036,101.32283501613479,101.32027509519861
gas in temp[°C],1981.2459839107391,450.06978365149325,414.5506014008529,230.77948685629394,226.84060015295853,188.40509501446581
gas in enthalpy[kJ/kg],2612.28925950519,489.65657248485604,446.71819373460346,230.83498586490845,226.316680058816,182.4484217716232
gas out pressure[kpa],101.3248447003047,101.3248284716823,101.3228465281036,101.32283501613479,101.32027509519861,100.55668315211528
gas out temp[°C],450.06978365149325,414.5506014008529,230.77948685629394,226.84060015295853,188.40509501446581,127.5264078768405
gas out enthalpy[kJ/kg],489.65657248485604,446.71819373460346,230.83498586490845,226.316680058816,182.4484217716232,113.74794815540035
water in temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,104.79548146166155
water in enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,440.0
water in pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,1000.008613037039
water out temp[°C],179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,179.88563239146657,119.99937291281316
water out enthalpy[kJ/kg],762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,762.6828443354104,504.34517712402516
water out pressure[kpa],1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000001559715
gas avg velocity[m/s],0.8630240166551708,0.46228294840506623,1.4178476479671316,0.32924766427195595,1.3825062531816825,10.354250364533689
water avg velocity[m/s],,,,,,0.008563010312002923
pressure drop fric[kpa],-1.490335382215178e-05,-7.740677601307454e-07,-0.0011070190418462772,-5.160858954333127e-07,-0.0015390088464398714,-0.5397004844616456
pressure drop minor[kpa],-0.00014039634146542624,-1.545455462659763e-05,-0.0008749245368767248,-1.099588291817e-05,-0.0010209120896874737,-0.22389145862169468
pressure drop total[kpa],-0.00015529969528757802,-1.6228622386728375e-05,-0.001981943578723002,-1.1511968813603311e-05,-0.002559920936127345,-0.7635919430833403
water pressure drop fric[kpa],,,,,,-0.008550368132631131
water pressure drop minor[kpa],,,,,,-6.25129347414266e-05
water pressure drop total[kpa],,,,,,-0.00861288106737256
Q conv[MW],0.019603720463354492,0.0011041561254468936,0.06220476153238639,0.0001946812496674294,0.01600576383677873,0.030698126541081755
Q rad[MW],0.9304270562016529,0.018113859060331725,0.03441850859019476,0.0018275906837804052,0.0036284497302237788,5.0280620128309183e-05
Q total[MW],0.9500307766650077,0.01921801518577862,0.09662327012258115,0.0020222719334478346,0.019634213567002515,0.03074840716121006
UA[MW/K],0.0010771143265138957,7.571868335868012e-05,0.0007854141176488165,4.0875155597765735e-05,0.0008559281853166839,0.0009132665918494009
steam capacity[t/h],1.505074117559121,0.03044589497248748,0.15307418095013886,0.003203758468102567,0.031105251939373378,
