run,param_group,param_value,fuel mass flow[kg/s],air flow[kg/s],excess air ratio[-],feedwater flow[kg/s],steam capacity[t/h],eta direct[-],eta indirect[-],Stack loss fraction[-],Q_flue_out[MW],UA[MW/K],Q_in total[MW],Q_useful[MW],Q_balance_error[MW],pressure drop fric total[kPa],pressure drop minor total[kPa],pressure drop total[kPa],water pressure drop fric total[kPa],water pressure drop minor total[kPa],water pressure drop total[kPa],LHV[kJ/kg],P-LHV[MW],Tad[°C],stack temperature[°C],feedwater pressure[kPa],drum pressure[kPa]
default_case,control,,0.1,1.6902611307035815,1.05,1.8921726157195145,6.813350128554048,0.9457613957814492,0.945761395781449,0.0542386042185509,0.2536603576403879,0.0105002848765833,4.67674936136409,4.423089003723702,-0.0001206218463511,-8.354165031580573,-4.092369310078368,-12.44653434165894,-0.0559112028581778,-0.0009810245300526,-0.0568922273882304,46730.96939782223,4.673096939782224,1981.4958544144984,152.38352541432988,1000.0568854105128,1000.0
drum_pressure_4.0bar,drum_pressure,4.0,0.1,1.6902611307035815,1.05,1.9363788725881417,6.972933987662679,0.9517456212779032,0.9517456212779032,0.0482543787220968,0.2256736349189023,0.010318257202674,4.676749362344623,4.45107572742572,-0.0001206228268841,-7.907430084679983,-3.8996638093871607,-11.807093894067144,-0.0583873605868794,-0.0010252094951441,-0.0594125700820236,46730.96939782223,4.673096939782224,1981.4958544144984,138.49186103999472,400.0594078065516,400.0
drum_pressure_10.0bar,drum_pressure,10.0,0.1,1.6902611307035815,1.05,1.8921726157195145,6.813350128554048,0.9457613957814492,0.945761395781449,0.0542386042185509,0.2536603576403879,0.0105002848765833,4.67674936136409,4.423089003723702,-0.0001206218463511,-8.354165031580573,-4.092369310078368,-12.44653434165894,-0.0559112028581778,-0.0009810245300526,-0.0568922273882304,46730.96939782223,4.673096939782224,1981.4958544144984,152.38352541432988,1000.0568854105128,1000.0
drum_pressure_16.0bar,drum_pressure,16.0,0.1,1.6902611307035815,1.05,1.8726642923539232,6.7428252370874855,0.9422822583473796,0.9422822583473796,0.0577177416526203,0.2699314114323916,0.0106355133313911,4.676749361695388,4.406817950262996,-0.0001206221776488,-8.621819398273912,-4.206507031990768,-12.82832643026468,-0.0550437348462038,-0.0009620620366523,-0.0560057968828562,46730.96939782223,4.673096939782224,1981.4958544144984,160.44047255436993,1600.0560029110538,1600.0
excess_air_1.0,excess_air,1.0,0.1,1.6097725054319822,1.0,1.8981838928312824,6.835829171216523,0.9488961610473444,0.9488961610473444,0.0511038389526556,0.2389921839101121,0.010336571351843,4.676599425955509,4.437607242045396,-0.0001203132455165,-7.580972213906616,-3.697801194562024,-11.27877340846864,-0.0561612479887869,-0.000986842742176,-0.057148090730963,46730.96939782223,4.673096939782224,2052.3619326514627,150.15684530457787,1000.0571347401152,1000.0
excess_air_1.05,excess_air,1.05,0.1,1.6902611307035815,1.05,1.8921726157195145,6.813350128554048,0.9457613957814492,0.945761395781449,0.0542386042185509,0.2536603576403879,0.0105002848765833,4.67674936136409,4.423089003723702,-0.0001206218463511,-8.354165031580573,-4.092369310078368,-12.44653434165894,-0.0559112028581778,-0.0009810245300526,-0.0568922273882304,46730.96939782223,4.673096939782224,1981.4958544144984,152.38352541432988,1000.0568854105128,1000.0
excess_air_1.1,excess_air,1.1,0.1,1.7707497559751806,1.1,1.8857980440716025,6.790496680878612,0.9425569757322668,0.9425569757322668,0.0574430242677332,0.2686552382967097,0.0106390598784444,4.676899270563271,4.408244032266562,-0.0001209042377849,-9.174927923247877,-4.513067886093026,-13.687995809340904,-0.0556276036482242,-0.0009748493449659,-0.0566024529931901,46730.96939782223,4.673096939782224,1915.5402425058203,154.5910233603525,1000.0565955946528,1000.0
excess_air_1.15,excess_air,1.15,0.1,1.8512383812467796,1.15,1.880274013237334,6.766527180872407,0.9392779212899038,0.939277921289904,0.060722078710096,0.2840001471149605,0.0107812080455536,4.67704915819591,4.393049011080949,-0.0001211650626764,-10.045428589026736,-4.961315824109082,-15.006744413135818,-0.0554121813468494,-0.000969562071786,-0.0563817434186354,46730.96939782223,4.673096939782224,1854.033845465873,156.7921234698328,1000.0563771143388,1000.0
excess_air_1.2,excess_air,1.2,0.1,1.9317270065183787,1.2,1.8736787420345264,6.742702703562862,0.935942525959793,0.9359425259597928,0.064057474040207,0.2996095550471259,0.010921863757434,4.67719902378713,4.3775894687400045,-0.0001214038461494,-10.96674873864736,-5.438224798311241,-16.4049735369586,-0.0551056188339364,-0.0009631949548554,-0.0560688137887918,46730.96939782223,4.673096939782224,1796.532649158968,158.94971563751977,1000.0560616130048,1000.0
excess_air_1.3,excess_air,1.3,0.1,2.0927042570615773,1.3,1.8601860657871865,6.69377166456695,0.9290981704309756,0.9290981704309756,0.0709018295690243,0.3316432153149929,0.0111793546550595,4.677498695462178,4.3458554801471845,-0.0001218219057017,-12.971082892027932,-6.484722743166491,-19.455805635194423,-0.0544629089523195,-0.0009502122380441,-0.0554131211903636,46730.96939782223,4.673096939782224,1692.0501024238897,163.16068537863322,1000.0553959285536,1000.0
fouling_1,fouling,1.0,0.1,1.6902611307035815,1.05,1.8921726157195145,6.813350128554048,0.9457613957814492,0.945761395781449,0.0542386042185509,0.2536603576403879,0.0105002848765833,4.67674936136409,4.423089003723702,-0.0001206218463511,-8.354165031580573,-4.092369310078368,-12.44653434165894,-0.0559112028581778,-0.0009810245300526,-0.0568922273882304,46730.96939782223,4.673096939782224,1981.4958544144984,152.38352541432988,1000.0568854105128,1000.0
