run,param_group,param_value,stage,kind,gas in pressure[kpa],gas in temp[°C],gas in enthalpy[kJ/kg],gas out pressure[kpa],gas out temp[°C],gas out enthalpy[kJ/kg],water in temp[°C],water in enthalpy[kJ/kg],water in pressure[kpa],water out temp[°C],water out enthalpy[kJ/kg],water out pressure[kpa],gas avg velocity[m/s],water avg velocity[m/s],pressure drop fric[kpa],pressure drop minor[kpa],pressure drop total[kpa],water pressure drop fric[kpa],water pressure drop minor[kpa],water pressure drop total[kpa],Q conv[MW],Q rad[MW],Q total[MW],UA[MW/K],steam capacity[t/h]
default_case,control,,HX_1,single_tube,101.325,1981.2459839107391,2612.28925950519,101.32249180181356,860.8685681096794,1014.0189711586983,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,5.041041876271002,,-0.00026185672299712965,-0.0022463414634468198,-0.0025081981864439494,,,,0.10851106743142605,2.7528525129578587,2.8613635803892845,0.0024132116886717257,4.550162898827438
default_case,control,,HX_2,reversal_chamber,101.32249180181356,860.8685681096794,1014.0189711586983,101.32208927369891,804.1367185550602,938.9043828879011,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,2.898236977022768,,-1.4955271904767272e-05,-0.0003875728427669513,-0.00040252811467171855,,,,0.009455548958115801,0.12502118354804273,0.1344767325061585,0.00020441429876645088,0.21384595903810907
default_case,control,,HX_3,tube_bank,101.32208927369891,804.1367185550602,938.9043828879011,101.27409313231317,332.77722753950354,349.3886892329869,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,7.668487032500493,,-0.029064536136726354,-0.018931605248974567,-0.04799614138570092,,,,0.8443481148932045,0.21105458974401692,1.0554027046372212,0.0030584707659601987,1.6783096922304002
default_case,control,,HX_4,reversal_chamber,101.27409313231317,332.77722753950354,349.3886892329869,101.27387404569274,328.16485678641834,343.960936132601,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,1.5845727337404074,,-7.407241662822478e-06,-0.00021167937876874612,-0.0002190866204315686,,,,0.0018345085190495597,0.00788275563113852,0.00971726415018808,6.436104486241858e-05,0.015452469975268338
default_case,control,,HX_5,tube_bank,101.27387404569274,328.16485678641834,343.960936132601,101.22751878999114,220.5082684411713,219.0618028328442,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,6.235948875367701,,-0.02809386681231517,-0.018261388889246992,-0.04635525570156216,,,,0.20594360480125387,0.017661820670933286,0.2236054254721872,0.002649887293612528,0.3555791084828333
default_case,control,,HX_6,economiser,101.22751878999114,220.5082684411713,219.0618028328442,88.87846565834099,152.38352541432988,141.6869292016374,104.79547299623715,440.0,1000.0568854105127,122.08677760733354,513.2085938766146,999.9999931831245,47.03790833305927,0.03391426148608761,-8.296722409394967,-4.052330722255164,-12.34905313165013,-0.055911202858177814,-0.0009810245300526522,-0.05689222738823048,0.13840935512194924,0.00011394144671264829,0.13852329656866186,0.002109939784710054,
drum_pressure_4.0bar,drum_pressure,4.0,HX_1,single_tube,101.325,1981.2459839107391,2612.28925950519,101.322491292246,864.0131983434318,1018.204732634908,143.6125329983829,604.7234741531466,400.0,143.6125329983829,604.7234741531466,400.0,5.049751083329571,,-0.0002623662906336657,-0.0022463414634468198,-0.0025087077540804853,,,,0.11350573863048698,2.7403641246644326,2.85386986329492,0.0023241684447379636,4.577017696780869
drum_pressure_4.0bar,drum_pressure,4.0,HX_2,reversal_chamber,101.322491292246,864.0131983434318,1018.204732634908,101.32208767717577,806.9802958455647,942.6510200672205,143.6125329983829,604.7234741531466,400.0,143.6125329983829,604.7234741531466,400.0,2.9060105777478022,,-1.5001882282424503e-05,-0.0003886131879480761,-0.00040361507023050063,,,,0.010080404847267289,0.12518248653924507,0.13526289138651235,0.00019377977937455327,0.21693373463043486
drum_pressure_4.0bar,drum_pressure,4.0,HX_3,tube_bank,101.32208767717577,806.9802958455647,942.6510200672205,101.27493327468615,310.84262171359376,323.6342418097872,143.6125329983829,604.7234741531466,400.0,143.6125329983829,604.7234741531466,400.0,7.549903164917322,,-0.028556618912583275,-0.01859778357710224,-0.04715440248968551,,,,0.9038186943019606,0.20439943692949836,1.1082181312314596,0.0029877820055053267,1.77735294232498
drum_pressure_4.0bar,drum_pressure,4.0,HX_4,reversal_chamber,101.27493327468615,310.84262171359376,323.6342418097872,101.27472215860398,306.4246788042144,318.46453320537137,143.6125329983829,604.7234741531466,400.0,143.6125329983829,604.7234741531466,400.0,1.5272351443815968,,-7.0965346520289944e-06,-0.00020401954750114403,-0.00021111608215317303,,,,0.00199307625955295,0.007262212836820424,0.009255289096373374,5.5918199811465465e-05,0.014843571715640734
drum_pressure_4.0bar,drum_pressure,4.0,HX_5,tube_bank,101.27472215860398,306.4246788042144,318.46453320537137,101.23098309181428,189.55456444242492,183.75464905499481,143.6125329983829,604.7234741531466,400.0,143.6125329983829,604.7234741531466,400.0,5.920216541320186,,-0.026436350006828094,-0.017302716782843952,-0.04373906678967205,,,,0.2254183597968493,0.015751131460469116,0.24116949125731846,0.002573110620614077,0.38678604221075336
